id,clean_title,raw_title,source_path,in_directory,created_at,updated_at,author,published,revision,subject,genre,summary,file_type,subtitle,publisher,edition,language,domain,subfield,topics,key_concepts,target_audience,media_type,is_collection,file_extension
1,Book List,_Book_list,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"Comprehensive resource bundle and reference collection focusing on Book List. Covers key principles, curated documentation, and multi-part assets across General Technical Studies within General Science & Technology.",Directory / Folder,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Directory / Resource Pack,1,
2,Project Manifest: The Cybernetic Instrument & Advanced Diagnostic Ecosystem,📂 Project Manifest_ The Cybernetic Instrument & Advanced Diagnostic Ecosystem.md,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Systems Architecture & Ecosystems,Project Documentation,"System architecture blueprint and diagnostic specification for Project Manifest: The Cybernetic Instrument & Advanced Diagnostic Ecosystem (The Cybernetic Instrument & Advanced Diagnostic Ecosystem). Details functional protocols, instrumentation pipelines, and execution frameworks in Systems Architecture & Engineering.",Markdown,The Cybernetic Instrument & Advanced Diagnostic Ecosystem,,1st Edition,en,Systems Architecture & Engineering,Cybernetic Diagnostics & Ecosystem Architecture,"system-architecture, cybernetics, diagnostics, technical-specification, documentation","Cybernetic Feedback Loops, Diagnostic Pipelines, Multi-Agent Instrumentation, System Design",Architect / Engineer,Project Documentation / Manifest,0,.md
3,0 Main Reads,_0_main_reads,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"Comprehensive resource bundle and reference collection focusing on 0 Main Reads. Covers key principles, curated documentation, and multi-part assets across General Technical Studies within General Science & Technology.",Directory / Folder,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Directory / Resource Pack,1,
4,Electronics,_electronics,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Electrical & Embedded Engineering,Textbook / Technical Reference,"Comprehensive resource bundle and reference collection focusing on Electronics. Covers key principles, curated documentation, and multi-part assets across Circuit Design, Embedded Systems & Hardware within Engineering & Applied Physics.",Directory / Folder,,,1st Edition,en,Engineering & Applied Physics,"Circuit Design, Embedded Systems & Hardware","electronics, electrical-engineering, embedded-systems, arduino, raspberry-pi, circuits, sensors, pcb","Analog & Digital Circuits, Microcontrollers, Signal Processing, Sensor Interfacing, Hardware Design",Intermediate / Practitioner,Directory / Resource Pack,1,
5,SSMP Bacto Combined,_SSMP_bacto_combined 2.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Technical & Applied Sciences,Technical Reference,"A comprehensive technical reference on SSMP Bacto Combined (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Technical & Applied Sciences and General Technical Studies.",PDF,,,1st Edition,en,General Science & Technology,General Technical Studies,"technology, reference, engineering, science","General Methodologies, Practical Applications, Core Concepts",General / Practitioner,Book / Ebook,0,.pdf
7,Teensy Synth BOM,_teensy_synth_BOM.csv.docx,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Electrical & Embedded Engineering,Textbook / Technical Reference,"A comprehensive textbook / technical reference on Teensy Synth BOM (1st Edition). Explores foundational principles, technical methodologies, and practical applications in Electrical & Embedded Engineering and Circuit Design, Embedded Systems & Hardware.",Word (DOCX),,,1st Edition,en,Engineering & Applied Physics,"Circuit Design, Embedded Systems & Hardware","electronics, electrical-engineering, embedded-systems, arduino, raspberry-pi, circuits, sensors, pcb","Analog & Digital Circuits, Microcontrollers, Signal Processing, Sensor Interfacing, Hardware Design",Intermediate / Practitioner,Hardware Specification / BOM,0,.csv.docx
8,Pay Bill,- Pay Bill.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,,1,Financial & Administrative Records,Financial Document / Record,Official fiscal documentation and financial statement record regarding Pay Bill.,PDF,,,1st Edition,en,"Business, Finance & Administration","Accounting, Taxes & Personal Finance","finance, accounting, taxes, financial-records, administrative","Financial Reporting, Ledger Balances, Tax Schedules, Fiscal Accounting",Administrative / General,Financial Record / Document,0,.pdf
9,How to Clear Your Mind and Organize Your Life (2026),[ WebToolTip.com ] How To Clear Your Mind and Organize Your Life (2026),/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,,2026,1,Personal Development & Philosophy,Non-Fiction / Self-Improvement,"Comprehensive resource bundle and reference collection focusing on How to Clear Your Mind and Organize Your Life (2026), released in 2026. Covers key principles, curated documentation, and multi-part assets across Cognitive Strategy & Productivity within Humanities & Social Sciences.",Directory / Folder,,,1st Edition,en,Humanities & Social Sciences,Cognitive Strategy & Productivity,"personal-development, productivity, psychology, philosophy, habits, mindset","Habit Architecture, Cognitive Reframing, Time Management, Stoic Principles, Focus Optimization",General / Practitioner,Directory / Resource Pack,1,
10,Electric Motors and Control Systems,[Frank D. Petruzella] Electric Motors and Control Systems.pdf,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,Frank D. Petruzella,,1,Electrical & Embedded Engineering,Textbook / Technical Reference,"A comprehensive textbook / technical reference on Electric Motors and Control Systems (1st Edition) by Frank D. Petruzella. Explores foundational principles, technical methodologies, and practical applications in Electrical & Embedded Engineering and Circuit Design, Embedded Systems & Hardware.",PDF,,,1st Edition,en,Engineering & Applied Physics,"Circuit Design, Embedded Systems & Hardware","electronics, electrical-engineering, embedded-systems, arduino, raspberry-pi, circuits, sensors, pcb","Analog & Digital Circuits, Microcontrollers, Signal Processing, Sensor Interfacing, Hardware Design",Intermediate / Practitioner,Book / Ebook,0,.pdf
11,Udemy - Python for Data Science and Machine Learning Bootcamp,[FreeCourseLab.com] Udemy - Python for Data Science and Machine Learning Bootcamp,/Users/sonic.design/Brain/01_Projects/CuredSounds/_app_devs/home_cc/_Book_list,0,2026-09-08 22:02:32,2026-09-09 01:00:03,"A. Lakshmi Muddana, Sandhya Vinayakam",2024,1,Artificial Intelligence & Machine Learning,Technical Reference,"Structured educational course and instructional video curriculum covering Udemy - Python for Data Science and Machine Learning Bootcamp by A. Lakshmi Muddana, Sandhya Vinayakam from Springer Nature Switzerland. Designed to build practical mastery and hands-on proficiency in Deep Learning & Generative AI.",Directory / Folder,,Springer Nature Switzerland,1st Edition,en,Computer Science & Artificial Intelligence,Deep Learning & Generative AI,"ai, machine-learning, deep-learning, llm, neural-networks, transformers, nlp, generative-ai","Model Architectures, Training Pipelines, Neural Optimization, Embeddings, Agentic Workflows",Advanced / Practitioner,Course / Video Series,1,
